Young Modulus         Poison Coeficient
34656449244.850296    0.245869 
34140752960.433643    0.241870 
31870264132.803276    0.215780 
29938691304.821613    0.194366 
30087158025.512077    0.195000 
31333868610.848160    0.205703 
31720636093.546032    0.206045 
30543059076.416187    0.192717 
28596282624.628815    0.179421 
27022285540.628708    0.172942 
33810935825.837570    0.246741 
32719002822.380535    0.234166 
31477941978.003983    0.205096 
30195669992.259342    0.189548 
29328809558.023674    0.195946 
28971446612.007095    0.204264 
28567733819.079147    0.202259 
27814836562.276230    0.192475 
26935657759.229790    0.182945 
26291834251.082611    0.180169 
31784632070.552059    0.243203 
30650200774.424500    0.222617 
30323811626.563282    0.196342 
29696296847.705116    0.191991 
28399899109.241341    0.203176 
27413583525.248783    0.206014 
27109465956.197620    0.200451 
27122028467.737862    0.192137 
27125575891.312550    0.183484 
26939514645.969257    0.181345 
29913810003.042664    0.236013 
29400440843.771717    0.215957 
29729371658.588387    0.198331 
29653420519.163036    0.203449 
28617063777.674583    0.214493 
27683461779.447006    0.210672 
27576054045.595573    0.201273 
28194980142.930134    0.192044 
28861495572.275917    0.181562 
28646449332.472378    0.176790 
30144563073.256702    0.227330 
29625161967.895279    0.213790 
29654049075.477798    0.205987 
29860643376.504063    0.215561 
29546062858.947746    0.221740 
28949796236.497425    0.211871 
28610921365.485359    0.200252 
28805779910.911480    0.191111 
29275178784.067795    0.180970 
29089329414.535107    0.175690 
31330994188.067123    0.214732 
30224343495.617550    0.208389 
29355986759.662495    0.207915 
29410620512.213619    0.218023 
29571860073.062458    0.218403 
29178965378.797688    0.205103 
28486633992.098473    0.194063 
27744344484.531654    0.186580 
27341223033.450615    0.179128 
27411050436.173233    0.179221 
31730182355.670147    0.203880 
30151491738.230560    0.199384 
28708203803.241875    0.200859 
28483065977.522533    0.210233 
28784935862.349079    0.210071 
28373599576.381374    0.198359 
27409477049.399979    0.188549 
26369465061.678001    0.181336 
25711851631.595451    0.175835 
26059033231.139320    0.182208 
32034825757.064713    0.205350 
30511882680.221081    0.197013 
29081603702.282055    0.194428 
28588957697.892567    0.200347 
28847893520.559174    0.203562 
28608958471.760090    0.198318 
27728682239.690319    0.190419 
26907838783.119709    0.182409 
26347968916.429737    0.176302 
26261464088.006760    0.182165 
32749408737.469456    0.206530 
32345786241.596256    0.199465 
31744200409.472309    0.195257 
31044812815.298161    0.195130 
30712037582.187569    0.198502 
30544034949.674046    0.201034 
30185422010.301960    0.199776 
29604041084.215500    0.194091 
28397690094.968105    0.184204 
26654747951.252750    0.180546 
32654545231.050613    0.186885 
33627900967.665241    0.184840 
34373962326.233292    0.185577 
34103947809.267395    0.185681 
33027236241.601452    0.192202 
32262772400.743553    0.205166 
32253580932.519875    0.217046 
32019279676.468197    0.219194 
29977240461.938107    0.202888 
26321605730.001640    0.181190 
