Young Modulus         Poison Coeficient
34800870461.202332    0.246000 
34336172818.063446    0.242058 
31846118364.275303    0.214281 
29659922082.280468    0.190667 
29834201470.361885    0.191213 
31328737147.930260    0.203356 
31900900777.426781    0.204764 
30710130790.772511    0.191642 
28620541950.023865    0.178364 
26987143300.577145    0.172626 
33973940514.369835    0.246572 
32828313123.492458    0.233490 
31445681397.274380    0.203671 
29982668958.181705    0.187502 
29118694128.324947    0.194294 
28943063493.409256    0.203956 
28684714440.468822    0.203248 
27938911301.787754    0.194001 
26976817631.033936    0.184111 
26239746703.427998    0.180503 
31948842231.296650    0.243099 
30655879810.699932    0.222306 
30270219809.499763    0.196634 
29577908970.975246    0.192765 
28260368722.008667    0.203762 
27371869040.381184    0.206514 
27170452737.075279    0.201323 
27207192145.833115    0.193411 
27187908483.878216    0.184594 
26885506771.942837    0.181631 
30062072713.772625    0.236103 
29349838240.665936    0.216385 
29645368932.973621    0.199729 
29607874160.994484    0.205253 
28560279741.276531    0.215431 
27651848720.976665    0.210418 
27597409281.537884    0.200464 
28239212472.722954    0.191498 
28924172638.445522    0.181537 
28618869203.936958    0.176783 
30281112370.777195    0.227350 
29565198030.042427    0.213900 
29535550317.263420    0.206508 
29850118963.923904    0.216329 
29575025201.506966    0.221862 
28951030506.617092    0.210814 
28611008288.834484    0.198348 
28811559963.456436    0.189283 
29302579896.639751    0.180025 
29102353225.747272    0.175477 
31452743996.476379    0.214585 
30178530470.692924    0.207786 
29211039328.906490    0.207131 
29397195891.918011    0.217742 
29663627273.884155    0.218449 
29217728021.536144    0.204840 
28477059663.050934    0.193280 
27725976662.734268    0.185473 
27319410352.885841    0.178246 
27445637687.989746    0.179027 
31818025514.820690    0.203725 
30126121022.982265    0.198828 
28559360175.018894    0.200317 
28444117268.344467    0.210792 
28892521569.505527    0.211924 
28432922869.141071    0.200578 
27390870137.566521    0.190226 
26339356946.086052    0.182051 
25664886123.560249    0.175759 
26087295853.235527    0.182199 
32077343151.262482    0.205376 
30508295368.102219    0.197235 
28959294598.771492    0.195020 
28534177238.627861    0.202028 
28937628837.221684    0.206677 
28669035787.819771    0.201871 
27702889978.829201    0.193134 
26874511697.796623    0.183870 
26310047167.448849    0.176784 
26270781953.324345    0.182241 
32755706541.889496    0.206965 
32352860122.350914    0.200895 
31667917943.803204    0.196887 
31001140244.796581    0.196356 
30773899894.744568    0.199503 
30595153565.761829    0.201874 
30168682586.472702    0.200344 
29580037101.695343    0.194677 
28388125050.208591    0.184838 
26648300869.999466    0.180705 
32654418231.546631    0.186744 
33636925280.531010    0.184640 
34359673514.567669    0.185281 
34100905321.843216    0.184426 
33061546444.941643    0.189611 
32296398688.588078    0.202274 
32262550558.081043    0.214972 
32020666715.295826    0.218090 
29982532997.981934    0.202494 
26318499891.931648    0.181047 
