Young Modulus         Poison Coeficient
34334733720.934319    0.245891 
33589763907.023529    0.242256 
31902832153.473888    0.221540 
30593610171.512501    0.205926 
30642406261.736454    0.205114 
31297246805.273304    0.209809 
31289864490.817577    0.206388 
30211293136.304039    0.193614 
28596400666.369450    0.182303 
27163919628.230412    0.174685 
33463871031.957146    0.247058 
32445113682.686790    0.236570 
31490773203.451382    0.209926 
30575477526.240025    0.195906 
29739300714.658272    0.201367 
29057768333.589127    0.206333 
28366153215.048889    0.200973 
27595498112.892460    0.189546 
26882572786.289055    0.179945 
26375517027.763268    0.178796 
31506902435.241184    0.243338 
30669925542.857666    0.223769 
30325603673.907982    0.195902 
29746468560.270908    0.189932 
28611715543.791321    0.202674 
27597060276.225334    0.207468 
27122548017.341732    0.201138 
27002625486.047245    0.190378 
26991337856.804718    0.180362 
26974685295.338223    0.179777 
29760905464.102226    0.235683 
29552574029.197922    0.213844 
29753776059.348843    0.192963 
29520987908.506115    0.196708 
28638230128.005539    0.211043 
27851771444.078629    0.212230 
27716186252.771614    0.205182 
28182163725.364090    0.194529 
28693053485.323135    0.182152 
28643530528.127956    0.177067 
30055116459.723045    0.226932 
29780131002.032669    0.211311 
29759542893.421131    0.200933 
29710528039.882168    0.209586 
29399171395.661564    0.218005 
28993005994.861530    0.212319 
28762080073.630917    0.204259 
28908289563.217968    0.195561 
29208800986.208950    0.183764 
29031292756.022503    0.176814 
31216282412.906578    0.214904 
30327631738.566479    0.208387 
29570275655.626083    0.206724 
29351644745.754536    0.214911 
29318855331.746590    0.214429 
29068554085.398933    0.202256 
28566364058.533207    0.193547 
27916605226.274815    0.188281 
27456049201.240181    0.180978 
27300753500.796627    0.179657 
31574396564.705666    0.204243 
30199268713.093014    0.200807 
28975902450.766975    0.202057 
28544285360.880260    0.208288 
28529668660.817360    0.204122 
28176666252.445591    0.191106 
27427356185.712749    0.183191 
26536822222.343204    0.179581 
25917857669.758667    0.175893 
25956669666.104069    0.181666 
31902623377.260811    0.204494 
30518485594.492275    0.196307 
29295246508.231937    0.194605 
28714094497.348732    0.198944 
28676892307.239811    0.198179 
28417329616.249454    0.190717 
27720914363.698402    0.184493 
27002288963.264427    0.179870 
26499065738.066921    0.175711 
26269985396.582481    0.181586 
32732674763.107738    0.205335 
32331713431.588573    0.196550 
31819123782.918514    0.192746 
31120977613.643440    0.194998 
30641684004.098122    0.199906 
30435936256.223759    0.201658 
30160173722.600628    0.198698 
29561713487.872887    0.191812 
28366854712.243725    0.183424 
26897256617.759628    0.180625 
32679464727.126431    0.189437 
33591384068.381725    0.187838 
34343199518.138531    0.187914 
34090789892.343071    0.189713 
32988225740.966370    0.199455 
32204842617.411434    0.212952 
32209842997.662720    0.221448 
31959511396.433945    0.218898 
29932490720.927826    0.199997 
26466408698.354847    0.184111 
