Young Modulus         Poison Coeficient
35699036108.245071    0.245842 
34370978998.984734    0.241218 
31233128302.550915    0.211555 
28939670060.026356    0.185609 
29395377409.130299    0.185863 
31517039092.100128    0.199397 
32558436482.883240    0.201999 
31212493574.928535    0.189584 
28721045792.504868    0.176875 
26634546263.349777    0.172195 
34835462417.137741    0.246509 
32819958645.620815    0.233186 
30815646503.092903    0.202942 
29295264091.356331    0.186545 
28716328951.022896    0.194251 
29083156299.085354    0.205608 
29225427373.182041    0.206012 
28354576517.172161    0.196862 
27075487982.957382    0.186076 
25876048999.980812    0.181042 
32740084612.037174    0.243227 
30603039198.755058    0.222775 
29634113653.046043    0.197783 
28979639303.753765    0.194513 
27938902421.423046    0.206002 
27484840288.509438    0.209409 
27635611999.309696    0.204499 
27576017094.599316    0.196151 
27296246653.258022    0.186381 
26525842543.888031    0.182054 
30789521179.781715    0.236103 
29281489242.058449    0.216321 
29001110490.775146    0.200071 
29108707562.797935    0.205970 
28340596312.215530    0.216183 
27755277319.320995    0.211336 
28008785339.479221    0.201618 
28580616680.163589    0.192554 
29023245176.968342    0.182343 
28301720446.580280    0.176987 
30976478777.024651    0.226969 
29510140741.530270    0.212176 
28890275736.342293    0.203950 
29447206457.780151    0.213741 
29476080829.207809    0.219169 
29060498207.471703    0.208004 
28967273945.600384    0.195850 
29124773753.877983    0.187351 
29366774020.126602    0.178932 
28871025743.753040    0.175224 
32077923903.191769    0.213961 
30158799446.566563    0.205033 
28596704402.262539    0.202606 
29078962174.264320    0.213172 
29675101798.748154    0.214173 
29327461119.708199    0.200515 
28752197482.382401    0.189277 
27992237467.656570    0.182309 
27341434503.818939    0.176226 
27290106088.906017    0.178532 
32283618847.265831    0.203651 
30140895364.716969    0.198281 
28007893873.855179    0.199264 
28176329711.808071    0.210528 
28948021124.120037    0.212578 
28510300002.966572    0.201319 
27560717379.718147    0.190720 
26537342389.132607    0.182407 
25655672158.168705    0.175801 
25959723964.091682    0.182208 
32360658844.501068    0.205713 
30552370188.862320    0.198591 
28510672751.949131    0.197266 
28316334209.873062    0.205843 
28998223928.572392    0.211872 
28711535603.484009    0.207207 
27789836972.798847    0.197634 
27010530292.880447    0.187165 
26289891427.905895    0.178532 
26156661707.035000    0.182628 
32889723717.429214    0.207062 
32413063502.298260    0.201434 
31383644970.153061    0.197467 
30874387977.746529    0.197671 
30839346990.538776    0.202060 
30627370382.431995    0.204842 
30211805835.547817    0.202975 
29663757734.842476    0.196747 
28374244628.097206    0.186091 
26574001730.537327    0.181031 
32677418595.378769    0.187625 
33636894542.099617    0.188617 
34238915079.890564    0.191880 
34039518836.018444    0.189501 
33084799329.518070    0.190148 
32328381037.736790    0.198872 
32310009928.829765    0.209644 
32081547874.721710    0.213041 
29998574933.231876    0.199495 
26303259459.669575    0.180266 
